Title,URL,Description
How Bank ABB is building a modern banking workforce through automation,https://www.uipath.com/resources/automation-case-studies/abb-bank-modernizes-banking-workforce-with-automation,"Discover how Bank ABB is building a modern banking workforce through UiPath automation, choosing enterprise-grade reliability, scalability & visionary leadership."
"Bricks, mortar, and bots: Travis Perkins nails it with Intelligent Automation",https://www.uipath.com/resources/automation-case-studies/travis-perkins-boosts-retail-efficiency-with-intelligent-automation,"Learn how Travis Perkins teamed up with Robiquity and UiPath to enhance productivity, efficiency, and customer service through intelligent automation."
Driving transformation in healthcare with Intelligent Automation,https://www.uipath.com/resources/automation-case-studies/asklepios-kliniken-transforms-healthcare-with-intelligent-automation,"Learn how Asklepios Kliniken uses intelligent automation to streamline healthcare operations, reduce manual work, improve employee satisfaction and drive efficiency across the orga..."
"Automating pediatric NHS referrals with ""Ada""",https://www.uipath.com/resources/automation-case-studies/automating-paediatric-nhs-referrals-with-ada,"Discover how CCS NHS Trust uses ""Ada,"" a digital worker powered by UiPath, to automate pediatric referrals and streamline data input from GP submissions."
State Street​: Revolutionizing banking reliability through test automation,https://www.uipath.com/resources/automation-case-studies/state-street-revolutionizes-banking-reliability-through-test-automation,Experience State Street's cutting-edge asset management. Automation boosts reliability and productivity while freeing up teams for vital tasks.
Deluxe is redefining financial efficiency with AI and automation,https://www.uipath.com/resources/automation-case-studies/deluxe-is-redefining-financial-efficiency-with-ai-and-automation,Learn how Deluxe is redefining efficiency and enhancing process management by streamlining operations and promoting innovation.
Empowering creative freedom: how Tapestry automation redefines employee roles,https://www.uipath.com/resources/automation-case-studies/tapestry-leveraged-uipath-platform-to-automate-tasks,Explore Tapestry's journey to operational efficiency through SAP automation. Discover how this luxury fashion leader streamlined processes and reaped significant benefits.
From 27 days to 12 hours—how the VA reinvented claims processing,https://www.uipath.com/resources/automation-case-studies/veterans-affairs-reinvented-claims-processing-with-automation,"Discover how ATOM, a new managed service automation platform powered by UiPath, is transforming the U.S. Department of Veteran Affairs with faster, smarter operations for staff and..."
Pioneering AI-powered automation transformation in Real Estate,https://www.uipath.com/resources/automation-case-studies/shriram-properties-revolutionizes-real-estate-with-ai-powered-automation,Discover how Shriram Properties teamed up with UiPath and Catnip Infotech to digitally transform real estate and challenge the industry's manual processes.
Johnson Controls is unlocking substantial savings with intelligent automation,https://www.uipath.com/resources/automation-case-studies/johnson-controls-is-unlocking-substantial-savings-with-intelligent-automation,Explore Johnson Controls' journey to greater savings with smart automation. Learn how they are revolutionizing transaction processing and achieving cost efficiency
AGS Health revolutionizes operations with AI and machine learning,https://www.uipath.com/resources/automation-case-studies/ags-health-revolutionizes-operations-with-ai-and-machine-learning,"Discover how AGS Health optimizes workflow with UiPath AI and automation, increasing efficiency, enhancing security, and transforming healthcare document processing. Experience red..."
WEX is streamlining operations and boosting satisfaction with automation,https://www.uipath.com/resources/automation-case-studies/wex-is-streamlining-operations-with-automation,"WEX leverages UiPath Autopilot to automate repetitive tasks, enhancing service delivery. It propels scalability into new areas, optimizing processes for amplified customer satisfac..."
"Speedier service, contented customers: How automation gave VPBank a boost",https://www.uipath.com/resources/automation-case-studies/vpbank-boosts-productivity-with-automation,"Discover how VPBank is using automation to streamline processes, enhance efficiency, and drive a digital-first future across its banking operations."
United Wholesale Mortgage​: Accelerating loan processing ​,https://www.uipath.com/resources/automation-case-studies/uwm-accelerates-loan-processing-with-document-understanding,"Explore how United Wholesale Mortgage significantly reduced their loan processing time and enhanced efficiency, transforming their operational productivity and client services."
Arnott’s recipe for automation success: baking accuracy and efficiency into its operations,https://www.uipath.com/resources/automation-case-studies/arnott-group-embraced-structured-approach-to-enterprise-automation,"Discover how The Arnott’s Group leverages enterprise automation to optimize operations, boost ROI, and unlock new capacity for sustainable growth."
Sappi streamlines operations with intelligent automation,https://www.uipath.com/resources/automation-case-studies/sappi-streamlines-operations-with-intelligent-automation,"Discover how Sappi harnesses the power of automation to boost efficiency, enhance productivity, and thrive in today’s fast-evolving digital landscape."
Cadillac Fairview is building on the success of automation center of excellence,https://www.uipath.com/resources/automation-case-studies/cadillac-fairview-builds-on-the-success-of-automation-center-of-excellence,Explore Cadillac Fairview's innovative digital transformation. Discover how AI and automation are revolutionizing operations and fostering business growth
Impactful innovation: USI's automation journey in the insurance industry,https://www.uipath.com/resources/automation-case-studies/usi-automation-journey-in-the-insurance-industry,"USI revolutionized their data processing by achieving an 80% speed increase, unlocking business intelligence and enhancing decision making."
Progressing insurance transformation at HUB with AI and automation,https://www.uipath.com/resources/automation-case-studies/hub-international-transforms-insurance-with-ai-and-automation,"Explore how HUB International leverages AI and automation to transform insurance processes. Accelerate growth with efficient operations, improved services, and smarter decision mak..."
HBL​: Creating a more inclusive banking experience with automation​,https://www.uipath.com/resources/automation-case-studies/hbl-creates-an-inclusive-banking-experience-through-automation,"Explore how HBL leverages automation to elevate banking experiences. With AI and automation at the forefront, HBL optimizes operations, boosts employee morale, and paves the path f..."
Romande Energie: Enhancing Efficiency and Customer Satisfaction through Process Automation,https://www.uipath.com/resources/automation-case-studies/romande-energie-boosts-efficiency-and-customer-satisfaction-with-process-automation,"Discover how Romande Energie improved efficiency and customer satisfaction with the UiPath Platform, leveraging automation through a successful partnership with Inoshift."
Citizen developers light up Orange Polska,https://www.uipath.com/resources/automation-case-studies/orange-polska-integrates-ai-robots-and-machine-learning-to-scale-automation,"Discover how Orange Polska is scaling automation by integrating AI robots and machine learning, unlocking new potential for efficiency and innovation."
ConocoPhillips is fueling innovation with automation,https://www.uipath.com/resources/automation-case-studies/conocophillips-is-fueling-innovation-with-automation,"ConocoPhillips streamlined their well monitoring process by implementing automation, eliminating risks of well collisions, enhancing safety, reducing manual work, and improving ope..."
CareSource is delivering better healthcare with intelligent automation,https://www.uipath.com/resources/automation-case-studies/caresource-delivering-better-healthcare-with-intelligent-automation,"Discover how CareSource used AI and automation to streamline processes, reducing manual work and boosting efficiency while improving the quality of healthcare services."
Fiserv drives enterprise-wide agentic AI adoption,https://www.uipath.com/resources/automation-case-studies/fiserv-drives-enterprise-wide-agentic-ai-adoption,"Discover how Fiserv utilizes AI and automation for fintech transformation, enhancing workflows, minimizing error rates, increasing efficiency, and promoting cross-team collaboratio..."
Orange France transforms nationwide broadband delivery with UiPath Process Mining,https://www.uipath.com/resources/automation-case-studies/orange-france-transforms-broadband-delivery-with-process-mining,"Discover how Orange France used UiPath Process Mining to streamline business fiber broadband deployment, save time, and enhance customer satisfaction and retention."
Türkiye Finans​: Streamlining unstructured money transfer requests with AI,https://www.uipath.com/resources/automation-case-studies/turkiye-finans-streamlines-unstructured-money-transfer-requests-with-ai,Explore how Türkiye Finans revolutionized their banking processes with UiPath. Learn how they transformed their financial operations using AI to streamline unstructured money trans...
How automation sped up billing and enabled a seamless SAP migration at Protelindo,https://www.uipath.com/resources/automation-case-studies/automation-at-protelindo,"Learn how Protelindo leverages automation for faster billing, seamless SAP S/4HANA migration, and empowering staff with automation skills since 2020."
Dart Container's journey to test automation excellence,https://www.uipath.com/resources/automation-case-studies/dart-containers-journey-to-test-automation-excellence,Learn how Dart Container's QA automation team revamped their testing tools and strategy to meet new market demands and evolving technology.
Flight Centre adapts with automation to deliver amazing customer experiences,https://www.uipath.com/resources/automation-case-studies/flight-centre-delivers-amazing-customer-service-with-automation,"Discover how UiPath automation helps Flight Centre streamline operations and empower employees to focus on high-value work, driving efficiency and innovation."
Flutter: Transforming CX with AI and automation​,https://www.uipath.com/resources/automation-case-studies/flutter-transforming-cx-with-ai-and-automation,"Flutter implemented a range of CX automations with UiPath, starting with an FAQ bot and progressing to more sophisticated solutions."
ADT: Improving the contact center experience for agents and customers,https://www.uipath.com/resources/automation-case-studies/adt-improves-the-contact-center-experience-for-customers-and-agents,"ADT revolutionizes customer experience with AI technology, reducing average handling times and optimizing contact center processes. They experienced increased satisfaction and fast..."
ManpowerGroup: A dramatic leap in candidate validation capacity​,https://www.uipath.com/resources/automation-case-studies/manpowergroup-implemented-an-end-to-end-automation-solution,"ManpowerGroup enhanced processing speed and capacity by 500% using UiPath, boosting employee satisfaction by freeing staff to focus on strategic tasks."
The Bank of East Asia saves countless hours by adopting UiPath automations,https://www.uipath.com/resources/automation-case-studies/uipath-platform-saves-the-bank-of-east-asia-countless-hours,"See how The Bank of East Asia has improved operational efficiency through automation, and laid a solid foundation for BEA to develop digital capabilities and optimize internal pro..."
Transforming Healthcare Operations with Automation,https://www.uipath.com/resources/automation-case-studies/vanguard-healthcare-transforms-healthcare-operations-through-automation,Discover how Vanguard Healthcare chose UiPath to revolutionize daily operations with advanced automation. See how the UiPath Platform empowered them to build bots that streamline t...
Enerjisa’s journey to digital excellence,https://www.uipath.com/resources/automation-case-studies/enerjisas-journey-to-digital-excellence,"Discover how Enerjisa’s strategic automation journey enhances internal processes and improves customer-facing operations, driving impactful business benefits."
